id,timestamp,experiment,activity,userType,userId,action,data,data2
0,2019-01-06 18:59:29,exp1,26_300,teacher,-1,CHANGE_SLIDE,10,11
1,2019-01-06 19:01:00,exp1,26_300,teacher,-1,CHANGE_SLIDE,11,12
2,2019-01-06 19:01:52,exp1,26_300,teacher,-1,CHANGE_SLIDE,12,11
3,2019-01-06 19:01:53,exp1,26_300,teacher,-1,CHANGE_SLIDE,11,10
4,2019-01-06 19:01:53,exp1,26_300,teacher,-1,CHANGE_SLIDE,10,9
5,2019-01-06 19:01:54,exp1,26_300,teacher,-1,CHANGE_SLIDE,9,8
6,2019-01-06 19:01:54,exp1,26_300,teacher,-1,CHANGE_SLIDE,8,7
7,2019-01-06 19:01:55,exp1,26_300,teacher,-1,CHANGE_SLIDE,7,6
8,2019-01-06 19:01:55,exp1,26_300,teacher,-1,CHANGE_SLIDE,6,5
9,2019-01-06 19:01:56,exp1,26_300,teacher,-1,CHANGE_SLIDE,5,4
484,2019-01-06 19:23:05,exp1,26_300,tester,60,SLIDE_PREV,4,
485,2019-01-06 19:23:05,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
486,2019-01-06 19:23:11,exp1,26_300,tester,60,SLIDE_PREV,3,
487,2019-01-06 19:23:11,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
488,2019-01-06 19:23:25,exp1,26_300,tester,60,SLIDE_PREV,2,
489,2019-01-06 19:23:25,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
490,2019-01-06 19:23:54,exp1,26_300,tester,60,WRITE_NOTE,0,<p>th</p>
491,2019-01-06 19:23:55,exp1,26_300,tester,0,WRITE_NOTE,10,<p>zegetegeeh</p>
492,2019-01-06 19:24:53,exp1,26_300,tester,60,NEED_ANSWER,2,test
497,2019-01-06 19:26:37,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
498,2019-01-06 19:26:45,exp1,26_300,tester,60,SLIDE_NEXT,2,
500,2019-01-06 19:27:11,exp1,26_300,tester,60,SLIDE_NEXT,3,
501,2019-01-06 19:27:24,exp1,26_300,tester,60,SLIDE_NEXT,4,
503,2019-01-06 19:27:43,exp1,26_300,tester,60,NEED_ANSWER,4,test
504,2019-01-06 19:27:50,exp1,26_300,tester,60,SLIDE_AUTO_START,5,
505,2019-01-06 19:27:50,exp1,26_300,tester,60,SLIDE_NEXT,5,
507,2019-01-06 19:27:57,exp1,26_300,tester,60,SLIDE_PREV,4,
508,2019-01-06 19:27:57,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
509,2019-01-06 19:28:01,exp1,26_300,tester,60,SLIDE_PREV,3,
510,2019-01-06 19:28:01,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
511,2019-01-06 19:28:06,exp1,26_300,tester,60,SLIDE_PREV,2,
512,2019-01-06 19:28:06,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
515,2019-01-06 19:29:27,exp1,26_300,tester,60,SLIDE_NEXT,3,
522,2019-01-06 19:31:57,exp1,26_300,tester,60,SLIDE_NEXT,4,
523,2019-01-06 19:32:11,exp1,26_300,tester,60,SLIDE_PREV,3,
524,2019-01-06 19:32:11,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
527,2019-01-06 19:33:08,exp1,26_300,tester,60,SLIDE_NEXT,4,
528,2019-01-06 19:33:20,exp1,26_300,tester,60,SLIDE_PREV,4,
529,2019-01-06 19:33:20,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
530,2019-01-06 19:33:24,exp1,26_300,tester,60,SLIDE_PREV,3,
531,2019-01-06 19:33:24,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
532,2019-01-06 19:33:30,exp1,26_300,tester,60,SLIDE_PREV,2,
533,2019-01-06 19:33:30,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
534,2019-01-06 19:33:36,exp1,26_300,tester,60,SLIDE_PREV,1,
535,2019-01-06 19:33:36,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
536,2019-01-06 19:33:43,exp1,26_300,tester,60,SLIDE_NEXT,2,
537,2019-01-06 19:33:55,exp1,26_300,tester,60,SLIDE_NEXT,3,
539,2019-01-06 19:33:59,exp1,26_300,tester,60,SLIDE_NEXT,4,
540,2019-01-06 19:34:02,exp1,26_300,tester,60,SLIDE_AUTO_START,5,
541,2019-01-06 19:34:02,exp1,26_300,tester,60,SLIDE_NEXT,5,
547,2019-01-06 19:36:16,exp1,26_300,tester,60,NEED_ANSWER,5,scrum
548,2019-01-06 19:36:29,exp1,26_300,tester,60,SLIDE_PREV,4,
549,2019-01-06 19:36:29,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
776,2019-01-07 06:02:50,exp1,26_300,tester,60,NEED_ANSWER,5,test 
778,2019-01-07 06:03:44,exp1,26_300,tester,60,SLIDE_PREV,4,
779,2019-01-07 06:03:44,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
783,2019-01-07 06:07:07,exp1,26_300,tester,60,NEED_ANSWER,4,test quel utilités
793,2019-01-07 06:18:08,exp1,26_300,tester,60,NEED_ANSWER,5,quelle est la taille de la tour effel
797,2019-01-07 06:20:42,exp1,26_300,tester,60,NEED_ANSWER,5,test
800,2019-01-07 06:22:15,exp1,26_300,tester,60,NEED_ANSWER,5,quelle est la taille de la tour effel
801,2019-01-07 06:22:49,exp1,26_300,tester,60,NEED_ANSWER,5,Effel
802,2019-01-07 06:23:12,exp1,26_300,tester,60,SLIDE_PREV,4,
803,2019-01-07 06:23:12,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
805,2019-01-07 06:23:18,exp1,26_300,tester,60,NEED_ANSWER,4,tour effel
807,2019-01-07 06:24:36,exp1,26_300,tester,60,NEED_ANSWER,4,tour effel
808,2019-01-07 06:25:00,exp1,26_300,tester,60,NEED_ANSWER,4,édifice
811,2019-01-07 06:26:19,exp1,26_300,tester,60,NEED_ANSWER,4,édifice
812,2019-01-07 06:26:34,exp1,26_300,tester,60,NEED_ANSWER,4,éréditaire
814,2019-01-07 06:27:15,exp1,26_300,tester,60,NEED_ANSWER,4,éréditaire
820,2019-01-07 06:32:20,exp1,26_300,tester,60,SLIDE_PREV,3,
821,2019-01-07 06:32:20,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
822,2019-01-07 06:33:02,exp1,26_300,tester,60,SLIDE_PREV,2,
823,2019-01-07 06:33:02,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
826,2019-01-07 06:34:32,exp1,26_300,tester,60,SLIDE_PREV,1,
827,2019-01-07 06:34:32,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
829,2019-01-07 06:35:31,exp1,26_300,tester,60,SLIDE_PREV,4,
830,2019-01-07 06:35:31,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
831,2019-01-07 06:35:56,exp1,26_300,tester,60,SLIDE_PREV,3,
832,2019-01-07 06:35:56,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
833,2019-01-07 06:36:20,exp1,26_300,tester,60,SLIDE_PREV,2,
834,2019-01-07 06:36:20,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
836,2019-01-07 06:36:44,exp1,26_300,tester,60,SLIDE_PREV,1,
837,2019-01-07 06:36:44,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
840,2019-01-07 06:39:14,exp1,26_300,tester,60,SLIDE_NEXT,2,
842,2019-01-07 06:40:24,exp1,26_300,tester,60,SLIDE_NEXT,3,
844,2019-01-07 06:40:27,exp1,26_300,tester,60,SLIDE_NEXT,4,
845,2019-01-07 06:40:31,exp1,26_300,tester,60,SLIDE_AUTO_START,5,
846,2019-01-07 06:40:31,exp1,26_300,tester,60,SLIDE_NEXT,5,
847,2019-01-07 06:40:39,exp1,26_300,tester,60,SLIDE_PREV,4,
848,2019-01-07 06:40:39,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
850,2019-01-07 06:41:56,exp1,26_300,tester,60,SLIDE_AUTO_START,5,
851,2019-01-07 06:41:56,exp1,26_300,tester,60,SLIDE_NEXT,5,
853,2019-01-07 06:42:44,exp1,26_300,tester,60,SLIDE_PREV,4,
854,2019-01-07 06:42:44,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
855,2019-01-07 06:42:47,exp1,26_300,tester,60,SLIDE_PREV,3,
856,2019-01-07 06:42:47,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
857,2019-01-07 06:42:49,exp1,26_300,tester,60,SLIDE_PREV,2,
858,2019-01-07 06:42:49,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
859,2019-01-07 06:42:51,exp1,26_300,tester,60,SLIDE_PREV,1,
860,2019-01-07 06:42:51,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
862,2019-01-07 06:43:51,exp1,26_300,tester,60,SLIDE_NEXT,2,
864,2019-01-07 06:45:25,exp1,26_300,tester,60,SLIDE_PREV,1,
865,2019-01-07 06:45:25,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
867,2019-01-07 06:45:46,exp1,26_300,tester,60,SLIDE_NEXT,2,
868,2019-01-07 06:45:59,exp1,26_300,tester,60,SLIDE_NEXT,3,
869,2019-01-07 06:46:12,exp1,26_300,tester,60,SLIDE_NEXT,4,
870,2019-01-07 06:46:18,exp1,26_300,tester,60,NEED_ANSWER,4,test
871,2019-01-07 06:46:21,exp1,26_300,tester,60,SLIDE_AUTO_START,5,
872,2019-01-07 06:46:21,exp1,26_300,tester,60,SLIDE_NEXT,5,
874,2019-01-07 06:46:35,exp1,26_300,tester,60,SLIDE_PREV,4,
875,2019-01-07 06:46:35,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
876,2019-01-07 06:46:38,exp1,26_300,tester,60,SLIDE_PREV,3,
877,2019-01-07 06:46:38,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
878,2019-01-07 06:46:43,exp1,26_300,tester,60,SLIDE_PREV,2,
879,2019-01-07 06:46:43,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
880,2019-01-07 06:46:47,exp1,26_300,tester,60,SLIDE_PREV,1,
881,2019-01-07 06:46:47,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
882,2019-01-07 06:46:51,exp1,26_300,tester,60,SLIDE_NEXT,2,
883,2019-01-07 06:46:55,exp1,26_300,tester,60,SLIDE_NEXT,3,
885,2019-01-07 06:48:06,exp1,26_300,tester,60,SLIDE_PREV,2,
886,2019-01-07 06:48:06,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
887,2019-01-07 06:48:16,exp1,26_300,tester,60,SLIDE_NEXT,3,
888,2019-01-07 06:48:19,exp1,26_300,tester,60,SLIDE_NEXT,4,
889,2019-01-07 06:48:21,exp1,26_300,tester,60,SLIDE_AUTO_START,5,
890,2019-01-07 06:48:21,exp1,26_300,tester,60,SLIDE_NEXT,5,
891,2019-01-07 06:48:27,exp1,26_300,tester,60,SLIDE_PREV,4,
892,2019-01-07 06:48:27,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
893,2019-01-07 06:48:30,exp1,26_300,tester,60,SLIDE_PREV,3,
894,2019-01-07 06:48:30,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
896,2019-01-07 06:48:43,exp1,26_300,tester,60,NEED_ANSWER,3,astéroide
901,2019-01-07 06:52:51,exp1,26_300,tester,60,SLIDE_PREV,2,
902,2019-01-07 06:52:51,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
903,2019-01-07 06:52:55,exp1,26_300,tester,60,SLIDE_PREV,1,
904,2019-01-07 06:52:55,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
905,2019-01-07 06:53:04,exp1,26_300,tester,60,SLIDE_NEXT,2,
906,2019-01-07 06:53:08,exp1,26_300,tester,60,SLIDE_NEXT,3,
907,2019-01-07 06:53:12,exp1,26_300,tester,60,SLIDE_NEXT,4,
908,2019-01-07 06:53:19,exp1,26_300,tester,60,SLIDE_AUTO_START,5,
909,2019-01-07 06:53:19,exp1,26_300,tester,60,SLIDE_NEXT,5,
910,2019-01-07 06:53:22,exp1,26_300,tester,60,NEED_ANSWER,5,test
914,2019-01-07 06:56:46,exp1,26_300,tester,60,SLIDE_PREV,4,
915,2019-01-07 06:56:46,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
916,2019-01-07 06:56:46,exp1,26_300,tester,60,SLIDE_PREV,3,
917,2019-01-07 06:56:46,exp1,26_300,tester,60,SLIDE_AUTO_STOP,0,
964,2019-01-07 08:48:30,exp1,36_378,tester,59,SLIDE_PREV,1,
965,2019-01-07 08:48:30,exp1,36_378,tester,59,SLIDE_AUTO_STOP,0,
966,2019-01-07 08:48:32,exp1,36_378,tester,59,SLIDE_AUTO_START,2,
967,2019-01-07 08:48:32,exp1,36_378,tester,59,SLIDE_NEXT,2,
968,2019-01-07 08:48:35,exp1,36_378,tester,59,SLIDE_PREV,1,
969,2019-01-07 08:48:35,exp1,36_378,tester,59,SLIDE_AUTO_STOP,0,
971,2019-01-07 08:49:03,exp1,36_378,tester,59,WRITE_NOTE,0,
1001,2019-01-07 09:06:52,exp1,36_378,tester,59,SLIDE_PREV,1,
1002,2019-01-07 09:06:52,exp1,36_378,tester,59,SLIDE_AUTO_STOP,0,
1003,2019-01-07 09:06:53,exp1,36_378,tester,59,SLIDE_AUTO_START,2,
1004,2019-01-07 09:06:53,exp1,36_378,tester,59,SLIDE_NEXT,2,
1005,2019-01-07 09:06:54,exp1,36_378,tester,59,SLIDE_AUTO_START,2,
1006,2019-01-07 09:06:55,exp1,36_378,tester,59,SLIDE_AUTO_START,2,
