experiment,activity,slide,NEED_ANSWER,NEED_SLOW,RESOURCE_DISLIKE,RESOURCE_LIKE
exp1,36_378,0,0,0,4,3
exp1,36_378,1,0,8,0,0
exp1,36_378,2,0,1,0,2
exp1,36_378,9,0,0,1,0
exp1,36_378,10,0,0,1,1
exp1,36_378,11,0,0,13,0
exp1,36_378,12,0,0,7,0
exp1,36_378,13,0,0,1,0
exp1,36_378,14,0,0,27,0
exp1,36_378,15,0,0,13,2
exp1,36_378,16,0,0,29,2
exp1,36_378,17,0,0,2,1
exp1,36_378,18,0,0,5,8
exp1,36_378,19,0,0,0,1
exp1,36_378,20,0,0,7,1
exp1,36_378,22,0,0,1,0
exp1,36_378,23,0,0,9,5
exp1,36_378,24,0,0,8,3
exp1,36_378,25,0,0,1,0
exp1,36_378,26,0,0,8,0
exp1,36_378,27,0,1,0,0
exp1,36_378,29,0,0,6,0
exp1,36_378,30,0,0,14,4
exp1,36_378,31,0,0,8,1
exp1,36_378,33,0,0,8,0
exp1,36_378,36,0,0,8,0
exp1,36_378,37,0,0,2,0
exp1,36_378,38,0,0,1,4
exp1,36_378,39,0,0,1,4
exp1,36_378,41,0,0,7,4
exp1,36_378,42,0,0,8,2
exp1,36_378,43,0,0,1,0
exp1,36_378,44,0,0,1,0
exp1,36_378,45,0,0,1,1
exp1,36_378,48,0,0,1,0
exp1,36_378,49,0,0,11,0
exp1,36_378,50,1,0,11,4
exp1,36_378,59,0,0,2,1
exp1,36_378,60,0,0,1,3
exp1,36_378,61,0,0,6,1
exp1,36_378,62,0,0,0,1
exp1,36_378,63,0,0,3,0
exp1,36_378,64,0,0,7,3
exp1,36_378,65,0,0,1,1
exp1,36_378,68,0,0,2,0
exp1,36_378,70,0,0,5,0
exp1,36_378,71,0,0,4,1
exp1,36_378,72,0,0,3,0
exp1,36_378,73,0,0,28,3
exp1,36_378,82,0,12,2,0
exp1,36_378,83,1,1,0,0
exp1,36_378,88,0,0,5,0
exp1,36_378,90,0,0,2,2
exp1,36_378,99,0,3,0,0
exp1,36_378,109,0,0,3,0
exp2,37_430,1,2,11,0,0
exp2,37_430,2,0,2,0,0
exp2,37_430,17,0,1,0,0
exp2,37_430,69,0,2,0,0
exp3,38_437,1,0,1,0,0
exp3,38_437,6,0,2,0,0
exp3,38_437,19,1,0,0,0
exp3,38_437,22,12,0,0,0
exp3,38_437,32,1,0,0,0
exp3,38_437,36,1,7,0,0
exp3,38_437,52,0,1,0,0
exp3,38_437,58,1,0,0,0
exp3,38_437,59,3,0,0,0
exp3,38_437,60,8,1,0,0
